operator,kwargs,input_shape,cpu_time,gpu_time
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=1","(1, 1, 96, 96)",853.886ms,0.022ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=1","(1, 1, 256, 256)",0.473ms,0.032ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=1","(1, 1, 640, 640)",0.382ms,0.181ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=1","(8, 1, 96, 96)",0.448ms,0.033ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=1","(8, 1, 256, 256)",0.612ms,0.224ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=1","(8, 1, 640, 640)",2.020ms,1.344ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=2","(1, 1, 96, 96)",0.445ms,0.012ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=2","(1, 1, 256, 256)",0.482ms,0.015ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=2","(1, 1, 640, 640)",0.444ms,0.048ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=2","(8, 1, 96, 96)",0.421ms,0.016ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=2","(8, 1, 256, 256)",0.444ms,0.062ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=8,stride=2","(8, 1, 640, 640)",0.744ms,0.352ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=1","(1, 1, 96, 96)",0.482ms,0.017ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=1","(1, 1, 256, 256)",0.482ms,0.077ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=1","(1, 1, 640, 640)",0.855ms,0.446ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=1","(8, 1, 96, 96)",0.494ms,0.087ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=1","(8, 1, 256, 256)",0.998ms,0.577ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=1","(8, 1, 640, 640)",4.337ms,3.544ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=2","(1, 1, 96, 96)",0.475ms,0.013ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=2","(1, 1, 256, 256)",0.43ms,0.019ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=2","(1, 1, 640, 640)",0.508ms,0.129ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=2","(8, 1, 96, 96)",0.421ms,0.02ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=2","(8, 1, 256, 256)",0.528ms,0.153ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=32,stride=2","(8, 1, 640, 640)",1.386ms,1.001ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=1","(1, 1, 96, 96)",0.5ms,0.021ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=1","(1, 1, 256, 256)",0.557ms,0.152ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=1","(1, 1, 640, 640)",1.300ms,0.886ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=1","(8, 1, 96, 96)",0.576ms,0.16ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=1","(8, 1, 256, 256)",1.572ms,1.145ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=1","(8, 1, 640, 640)",7.999ms,6.980ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=2","(1, 1, 96, 96)",0.458ms,0.015ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=2","(1, 1, 256, 256)",0.434ms,0.034ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=2","(1, 1, 640, 640)",0.632ms,0.258ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=2","(8, 1, 96, 96)",0.434ms,0.043ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=2","(8, 1, 256, 256)",0.677ms,0.295ms
Conv2d,"in_channels=1,kernel_size=3,out_channels=64,stride=2","(8, 1, 640, 640)",2.396ms,2.011ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=1","(1, 1, 96, 96)",0.4ms,0.012ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=1","(1, 1, 256, 256)",0.397ms,0.046ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=1","(1, 1, 640, 640)",0.618ms,0.296ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=1","(8, 1, 96, 96)",0.385ms,0.05ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=1","(8, 1, 256, 256)",0.67ms,0.371ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=1","(8, 1, 640, 640)",2.676ms,2.319ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=2","(1, 1, 96, 96)",0.367ms,0.007ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=2","(1, 1, 256, 256)",0.369ms,0.016ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=2","(1, 1, 640, 640)",0.398ms,0.076ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=2","(8, 1, 96, 96)",0.362ms,0.016ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=2","(8, 1, 256, 256)",0.381ms,0.101ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=8,stride=2","(8, 1, 640, 640)",0.955ms,0.614ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=1","(1, 1, 96, 96)",0.405ms,0.018ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=1","(1, 1, 256, 256)",0.426ms,0.095ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=1","(1, 1, 640, 640)",0.911ms,0.578ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=1","(8, 1, 96, 96)",0.428ms,0.106ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=1","(8, 1, 256, 256)",1.068ms,0.726ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=1","(8, 1, 640, 640)",4.864ms,4.522ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=2","(1, 1, 96, 96)",0.424ms,0.009ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=2","(1, 1, 256, 256)",0.384ms,0.027ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=2","(1, 1, 640, 640)",0.537ms,0.163ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=2","(8, 1, 96, 96)",0.526ms,0.029ms
